29581 77543
0 41.984077 -87.851041
1 41.983432 -87.817823
2 41.900951 -87.660940
3 41.895088 -87.657186
4 41.894301 -87.655976
5 41.883997 -87.646069
6 41.857367 -87.644363
7 41.845539 -87.650673
8 41.837422 -87.669478
9 41.847885 -87.622664
10 41.846962 -87.627591
11 41.847217 -87.636005
12 41.839102 -87.664226
13 41.860335 -87.617619
14 41.866556 -87.619221
15 41.880924 -87.617244
16 41.924614 -87.630677
17 41.925747 -87.633628
18 41.931132 -87.637135
19 41.932294 -87.638681
20 41.925619 -87.639111
21 41.928689 -87.642314
22 41.929685 -87.639272
23 41.926222 -87.630677
24 41.875815 -87.681004
25 41.874533 -87.706608
26 41.807626 -87.743265
27 41.793086 -87.741856
28 41.982345 -87.792871
29 41.974600 -87.770377
30 41.966478 -87.753623
31 41.962276 -87.745554
32 41.960292 -87.742660
33 41.956540 -87.736222
34 41.949809 -87.724177
35 41.948530 -87.721846
36 41.943245 -87.716834
37 41.942092 -87.715532
38 41.939864 -87.709376
39 41.936495 -87.703551
40 41.934155 -87.699593
41 41.931165 -87.694526
42 41.929815 -87.691953
43 41.927267 -87.687141
44 41.905628 -87.661199
45 41.915585 -87.668293
46 41.908887 -87.663760
47 41.905336 -87.660775
48 41.907960 -87.662221
49 41.919222 -87.672354
50 41.921020 -87.675507
51 41.922927 -87.678858
52 41.923332 -87.680211
53 41.929687 -87.690774
54 41.937403 -87.704111
55 41.939645 -87.708257
56 41.942208 -87.714861
57 41.943246 -87.716183
58 41.948062 -87.719749
59 41.950310 -87.724198
60 41.957083 -87.736150
61 41.958738 -87.739116
62 41.960971 -87.742589
63 41.972374 -87.765835
64 41.977152 -87.774339
65 41.981476 -87.781980
66 41.982587 -87.791825
67 41.982560 -87.796051
68 41.900260 -87.660257
69 41.896395 -87.658090
70 41.890759 -87.650313
71 41.886307 -87.646049
72 41.845404 -87.634351
73 41.853221 -87.614725
74 41.848129 -87.623007
75 41.935183 -87.632501
76 41.939073 -87.636760
77 41.952992 -87.644572
78 41.956216 -87.644999
79 41.960254 -87.646094
80 41.957427 -87.645733
81 41.952961 -87.644784
82 41.945748 -87.641569
83 41.938900 -87.636826
84 41.954667 -87.644162
85 41.954634 -87.645266
86 41.954553 -87.650527
87 41.954492 -87.654549
88 41.954380 -87.662225
89 41.954357 -87.664217
90 41.954299 -87.669110
91 41.954307 -87.672224
92 41.954290 -87.673794
93 41.954283 -87.674210
94 41.954216 -87.678771
95 41.954459 -87.656864
96 41.961461 -87.678962
97 41.957874 -87.674338
98 41.957882 -87.673876
99 41.957907 -87.672306
100 41.957932 -87.670742
101 41.957956 -87.669202
102 41.959748 -87.670794
103 41.959730 -87.672366
104 41.959711 -87.673931
105 41.961526 -87.673964
106 41.961547 -87.672411
107 41.961570 -87.670845
108 41.961591 -87.669303
109 41.961499 -87.676016
110 41.961479 -87.677502
111 41.961638 -87.665949
112 41.961665 -87.663883
113 41.961669 -87.663594
114 41.961741 -87.658034
115 41.962081 -87.645563
116 41.956062 -87.673837
117 41.956087 -87.672250
118 41.956111 -87.670690
119 41.954328 -87.670639
120 41.956136 -87.669156
121 41.961518 -87.674511
122 41.959819 -87.665276
123 41.958026 -87.664497
124 41.951046 -87.659594
125 41.930010 -87.643430
126 41.930723 -87.643913
127 41.931849 -87.644577
128 41.936435 -87.647812
129 41.938193 -87.649228
130 41.939965 -87.650679
131 41.951481 -87.674130
132 41.952408 -87.674158
133 41.953283 -87.674184
134 41.954300 -87.672630
135 41.947083 -87.663999
136 41.946869 -87.678550
137 41.925657 -87.636581
138 41.925291 -87.658464
139 41.925453 -87.648766
140 41.925491 -87.646336
141 41.925580 -87.640463
142 41.939696 -87.668727
143 41.932557 -87.658713
144 41.878055 -87.639592
145 41.878090 -87.636693
146 41.878107 -87.635240
147 41.878123 -87.633745
148 41.878137 -87.632763
149 41.878144 -87.632262
150 41.878160 -87.630780
151 41.878293 -87.624208
152 41.878294 -87.624413
153 41.878262 -87.626099
154 41.878211 -87.627695
155 41.878188 -87.628769
156 41.878179 -87.629291
157 41.876831 -87.635204
158 41.876853 -87.633707
159 41.876863 -87.632729
160 41.876812 -87.636629
161 41.876978 -87.626066
162 41.877010 -87.624380
163 41.876967 -87.624175
164 41.876938 -87.627664
165 41.876912 -87.628739
166 41.876904 -87.629257
167 41.879529 -87.626130
168 41.875890 -87.623299
169 41.875766 -87.624204
170 41.875724 -87.624350
171 41.878083 -87.636932
172 41.876812 -87.636803
173 41.876859 -87.633121
174 41.900820 -87.624141
175 41.899219 -87.624060
176 41.898389 -87.624042
177 41.897586 -87.624066
178 41.896741 -87.624176
179 41.895748 -87.624197
180 41.900045 -87.621903
181 41.900076 -87.620252
182 41.900095 -87.619261
183 41.899246 -87.621885
184 41.898422 -87.621867
185 41.897618 -87.621852
186 41.896766 -87.621834
187 41.899294 -87.618734
188 41.898469 -87.618191
189 41.897681 -87.617653
190 41.899272 -87.620228
191 41.898442 -87.620216
192 41.897643 -87.620193
193 41.896840 -87.617065
194 41.895873 -87.616407
